rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage,new_feature
29.0,KOR,"SOUTH,KOREA",asia,51784059.0,51815810.0,51844690.0,50994401.0,48813042.0,46788591.0,44120039.0,38170501.0,32601143.0,-0.2483564327885532,531.0,-0.06%,0.65%,103599869.0
30.0,UGA,UGANDA,africa,48582334.0,47249585.0,44404611.0,37477356.0,32341728.0,24020697.0,17586630.0,13284026.0,10317212.0,-0.15916035846330384,242.0,2.82%,0.61%,95831919.0
31.0,SDN,SUDAN,africa,48109006.0,46874204.0,44440486.0,38171178.0,33739933.0,26298773.0,21090886.0,16673586.0,11305206.0,0.8786530684307848,26.0,2.63%,0.60%,94983210.0
32.0,ESP,SPAIN,europe,47519628.0,47558630.0,47363807.0,46431342.0,46572772.0,40741651.0,38889889.0,37491666.0,33792617.0,0.007722252876144314,95.0,-0.08%,0.59%,95078258.0
33.0,ARG,ARGENTINA,south america,45773884.0,45510318.0,45036032.0,43257065.0,41100123.0,37070774.0,32637657.0,28024803.0,23842803.0,1.4430432166085752,17.0,0.58%,0.57%,91284202.0
34.0,DZA,ALGERIA,africa,45606480.0,44903225.0,43451666.0,39543154.0,35856344.0,30774621.0,25518074.0,18739378.0,,,19.0,1.57%,0.57%,90509705.0
35.0,IRQ,IRAQ,asia,45504560.0,44496122.0,42556984.0,37757813.0,31264875.0,24628858.0,17658381.0,13653369.0,,,105.0,2.27%,0.57%,90000682.0
36.0,AFG,AFGHANISTAN,asia,42239854.0,41128771.0,,33753499.0,28189672.0,19542982.0,10694796.0,12486631.0,10752971.0,0.1000093302581722,65.0,2.70%,0.53%,83368625.0
37.0,POL,POLAND,europe,41026067.0,39857145.0,,38553146.0,38597353.0,38504431.0,38064255.0,35521429.0,32482943.0,-0.11427265809058086,134.0,2.93%,0.51%,80883212.0
38.0,CAN,CANADA,north america,38781291.0,38454327.0,,35732126.0,33963412.0,30683313.0,27657204.0,24511510.0,21434577.0,5.989474533851849,4.0,0.85%,0.48%,77235618.0
39.0,MAR,MOROCCO,africa,37840044.0,37457971.0,,34680458.0,32464865.0,28554415.0,24570814.0,19678444.0,15274351.0,-0.029790079443379365,85.0,1.02%,0.47%,75298015.0
40.0,SAU,"SAUDI,ARABIA",asia,36947025.0,36408820.0,35997107.0,32749848.0,29411929.0,21547390.0,16004763.0,10171710.0,6106191.0,1.0450181986541534,17.0,1.48%,0.46%,73355845.0
41.0,UKR,UKRAINE,europe,36744634.0,39701739.0,43909666.0,44982564.0,45683020.0,48879755.0,51589817.0,49973920.0,47279086.0,0.06925706832333846,63.0,-7.45%,0.46%,76446373.0
42.0,AGO,ANGOLA,africa,36684202.0,35588987.0,33428485.0,28127721.0,23364185.0,16394062.0,11828638.0,8330047.0,6029700.0,0.4751642071799991,29.0,3.08%,0.46%,72273189.0
43.0,UZB,UZBEKISTAN,asia,35163944.0,34627652.0,33526656.0,30949417.0,28614227.0,24925554.0,20579100.0,15947129.0,12011361.0,-0.02925366609134552,80.0,1.55%,0.44%,69791596.0
44.0,YEM,YEMEN,asia,34449825.0,33696614.0,32284046.0,28516545.0,24743946.0,18628700.0,13375121.0,9204938.0,6843607.0,0.021590746787080194,65.0,2.24%,0.43%,68146439.0
45.0,PER,PERU,south america,34352719.0,34049588.0,33304756.0,30711863.0,29229572.0,26654439.0,22109099.0,17492406.0,13562371.0,0.49947067384698157,27.0,0.89%,0.43%,68402307.0
46.0,MYS,MALAYSIA,asia,34308525.0,33938221.0,33199993.0,31068833.0,28717731.0,22945150.0,17517054.0,13215707.0,10306508.0,-0.10283506327615592,104.0,1.09%,0.43%,68246746.0
47.0,GHA,GHANA,africa,34121985.0,33475870.0,32180401.0,28870939.0,25574719.0,19665502.0,15446982.0,11865246.0,8861895.0,-0.16106431032575805,150.0,1.93%,0.43%,67597855.0
48.0,MOZ,MOZAMBIQUE,africa,33897354.0,32969518.0,31178239.0,26843246.0,23073723.0,17768505.0,13303459.0,11413587.0,8411676.0,0.1942666223284937,43.0,2.81%,0.42%,66866872.0
49.0,NPL,NEPAL,asia,30896590.0,30547580.0,29348627.0,27610325.0,27161567.0,24559500.0,19616530.0,15600442.0,12501285.0,-0.21871423095516362,216.0,1.14%,0.39%,61444170.0
